Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.14     27.95     0.04   927031     0.00     0.00  void std::vector<Move, std::allocator<Move> >::_M_emplace_back_aux<int&, int&, Piece>(int&, int&, Piece&&)
  0.14     27.99     0.04        2     0.02     0.03  void std::vector<Move, std::allocator<Move> >::emplace_back<char const (&) [4], Position const&>(char const (&) [4], Position const&)
  0.12     28.03     0.04 48335656     0.00     0.00  std::_Deque_iterator<std::pair<int, int>, std::pair<int, int>&, std::pair<int, int>*>::_Deque_iterator()
  0.12     28.06     0.04 74357306     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.12     28.10     0.04 70122905     0.00     0.00  unsigned int const& std::__pair_get<0ul>::__get<unsigned int const, std::bitset<7ul> >(std::pair<unsigned int const, std::bitset<7ul> >&)
  0.12     28.13     0.04 12083914     0.00     0.00  std::allocator<std::pair<int, int> >::allocator()
  0.12     28.17     0.04 12083914     0.00     0.00  std::queue<std::pair<int, int>, std::deque<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::queue(std::deque<std::pair<int, int>, std::allocator<std::pair<int, int> > >&&)
  0.12     28.20     0.04     2401     0.00     0.00  std::_Base_bitset<1ul>::_Base_bitset()
  0.10     28.23     0.03 119505225     0.00     0.00  std::pair<int, int>&& std::forward<std::pair<int, int> >(std::remove_reference<std::pair<int, int> >::type&)
  0.10     28.26     0.03 70130166     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<unsigned int>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<1, std::hash<unsigned int>, true> const&)
  0.10     28.29     0.03 51918989     0.00     0.00  std::deque<std::pair<int, int>, std::allocator<std::pair<int, int> > >::empty() const
  0.10     28.32     0.03 48335656     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, int>*>::~new_allocator()
  0.10     28.35     0.03 48335656     0.00     0.00  std::_Deque_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_M_get_Tp_allocator() const
  0.10     28.38     0.03 39835075     0.00     0.00  void __gnu_cxx::new_allocator<std::pair<int, int> >::destroy<std::pair<int, int> >(std::pair<int, int>*)
